percentile,empty_t1,empty_t4,empty_t8,read_t1,read_t4,read_t8
6.4,4334,10881,23946,7915,24146,53589
6.4,4335,10887,23950,7916,24147,53589
6.4,4335,10889,23956,7916,24148,53591
6.4,4335,10890,23958,7916,24148,53591
6.5,4335,10891,23966,7917,24149,53592
6.5,4335,10899,23991,7917,24149,53599
6.5,4335,10900,23997,7917,24150,53599
6.5,4336,10902,24011,7918,24152,53600
6.5,4336,10902,24011,7918,24153,53602
6.5,4336,10911,24038,7918,24154,53615
6.5,4336,10911,24051,7918,24155,53617
6.5,4336,10913,24064,7919,24158,53618
6.5,4336,10917,24097,7920,24159,53619
6.6,4336,10918,24122,7920,24160,53620
6.6,4337,10923,24145,7920,24160,53622
6.6,4337,10923,24151,7921,24160,53625
6.6,4337,10924,24154,7921,24160,53631
6.6,4337,10927,24169,7921,24160,53631
6.6,4337,10930,24174,7921,24161,53631
6.6,4338,10935,24183,7921,24162,53633
6.7,4338,10938,24211,7921,24163,53635
6.7,4338,10941,24212,7922,24166,53639
6.7,4338,10945,24226,7922,24167,53640
6.7,4338,10949,24235,7922,24168,53642
6.7,4338,10955,24238,7923,24169,53643
6.7,4338,10957,24245,7924,24169,53646
6.7,4338,10959,24270,7924,24170,53647
6.7,4339,10963,24271,7924,24171,53647
6.8,4339,10966,24280,7925,24172,53649
6.8,4339,10967,24289,7926,24173,53654
6.8,4339,10970,24290,7927,24176,53656
6.8,4339,10973,24320,7927,24176,53662
6.8,4339,10979,24323,7927,24177,53670
6.8,4340,10980,24325,7929,24177,53670
6.8,4340,10981,24345,7930,24177,53677
6.8,4340,10981,24347,7931,24178,53680
6.8,4340,10983,24356,7931,24179,53681
6.9,4340,10983,24369,7931,24180,53681
6.9,4340,10985,24371,7932,24182,53683
6.9,4341,10986,24373,7932,24182,53687
6.9,4341,10988,24379,7932,24183,53687
6.9,4341,10990,24406,7932,24183,53691
6.9,4341,11000,24416,7932,24186,53691
6.9,4342,11007,24431,7932,24190,53694
7.0,4342,11008,24445,7933,24190,53696
7.0,4343,11010,24448,7934,24191,53697
7.0,4343,11015,24455,7934,24191,53702
